Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
07/12/2013	23535730	Pharoah PD	04/01/2013	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/23535730	GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer.	Ovarian cancer	3,769 European ancestry cases, 4,396 European ancestry controls	211 East Asian cases, 972 East Asian controls, 39,674 European ancestry individuals, 106 Malaysian cases, 106 Malaysian controls	9p22.2	9	16915021	NR	BNC2 - RPL31P42	54796	100271197		       44.24	      193.28	rs3814113-?	rs3814113	0	3814113	Intergenic	1	0.68	4E-29	28.39794000867204	(All invasive)	   1.21	[1.17-1.25] 	Illumina [2,508,744] (Imputed)	N
07/12/2013	23535730	Pharoah PD	04/01/2013	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/23535730	GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer.	Ovarian cancer	3,769 European ancestry cases, 4,396 European ancestry controls	211 East Asian cases, 972 East Asian controls, 39,674 European ancestry individuals, 106 Malaysian cases, 106 Malaysian controls	9p22.2	9	16915021	NR	BNC2 - RPL31P42	54796	100271197		       44.24	      193.28	rs3814113-?	rs3814113	0	3814113	Intergenic	1	0.68	4E-32	31.39794000867204	(Serious invasive)	   1.28	[1.23-1.33] 	Illumina [2,508,744] (Imputed)	N
08/02/2013	23544013	Couch FJ	03/27/2013	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/23544013	Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.	Ovarian cancer in BRCA1 mutation carriers 	683 European ancestry cases, 2,044 European ancestry controls	1,706 European ancestry cases, 10,258 European ancestry controls	9p22.2	9	16915021	Intergenic	BNC2 - RPL31P42	54796	100271197		       44.24	      193.28	rs3814113-A	rs3814113	0	3814113	Intergenic	1	0.66	6E-11	10.22184874961635		   1.30	[1.2-1.41] 	Illumina [2,568,349] (Imputed)	N
09/04/2009	19648919	Song H	08/02/2009	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19648919?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	A genome-wide association study identifies a new ovarian cancer susceptibility locus on 9p22.2.	Ovarian cancer	1,817 European ancestry cases, 2,353 European ancestry controls	6,944 European ancestry cases, 9,477 European ancestry controls	9p22.2	9	16915021	BNC2, LOC648570, CNTLN	BNC2 - RPL31P42	54796	100271197		       44.24	      193.28	rs3814113-T	rs3814113	0	3814113	Intergenic	1	0.68	5E-19	18.30102999566398		   1.22	[1.16-1.27] 	Illumina [up to ~2,000,000] (imputed)	N
11/25/2008	17952075	Sulem P	10/21/2007	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/17952075?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Genetic determinants of hair, eye and skin pigmentation in Europeans.	Blond vs. brown hair color	2,986 individuals	3,932 individuals	16q24.3	16	89986117	MC1R	MC1R			4157			rs1805007-T	rs1805007	0	1805007	missense	0	0.08	2E-13	12.69897000433602	 	   2.34	[1.69-3.24] 	Illumina[317,511]	N
11/25/2008	17952075	Sulem P	10/21/2007	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/17952075?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Genetic determinants of hair, eye and skin pigmentation in Europeans.	Blue vs. green eyes	2,986 individuals	3,932 individuals	11q14.3	11	89011046	TYR	TYR			7299			rs1393350-A	rs1393350	0	1393350	intron	0	0.23	3E-12	11.52287874528034	 	   1.52	[1.28-1.81] 	Illumina[317,511]	N
11/25/2008	17952075	Sulem P	10/21/2007	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/17952075?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Genetic determinants of hair, eye and skin pigmentation in Europeans.	Freckles	2,986 individuals	3,932 individuals	16q24.3	16	89986117	MC1R	MC1R			4157			rs1805007-T	rs1805007	0	1805007	missense	0	0.05	1E-96	95.99999999999999	 	   4.37	[3.56-5.37] 	Illumina[317,511]	N
02/16/2009	17952075	Sulem P	10/21/2007	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/17952075?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum+E2	Genetic determinants of hair, eye and skin pigmentation in Europeans.	Red vs non-red hair color	2,986 individuals	3,932 individuals	16q24.3	16	89986117	MC1R	MC1R			4157			rs1805007-T	rs1805007	0	1805007	missense	0	NR	2E-142	141.698970004336	 	  12.47	[9.37-16.60] 	Illumina[317,511]	N
02/16/2009	17952075	Sulem P	10/21/2007	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/17952075?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum+E2	Genetic determinants of hair, eye and skin pigmentation in Europeans.	Skin sensitivity to sun	2,986 individuals	3,932 individuals	11q14.3	11	89011046	TYR	TYR			7299			rs1393350-A	rs1393350	0	1393350	intron	0	0.27	2E-6	5.698970004336018	 	   1.26	[1.11-1.43] 	Illumina[317,511]	N
02/16/2009	17952075	Sulem P	10/21/2007	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/17952075?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum+E2	Genetic determinants of hair, eye and skin pigmentation in Europeans.	Skin sensitivity to sun	2,986 individuals	3,932 individuals	16q24.3	16	89986117	MC1R	MC1R			4157			rs1805007-T	rs1805007	0	1805007	missense	0	0.06	2E-55	54.69897000433601	 	   2.94	[2.42-3.58] 	Illumina[317,511]	N
